CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1418074	4.6	*
CHEMBL1498694	5.7	*
CHEMBL1472523	5.5	*
CHEMBL1573735	4.55	*
CHEMBL1380712	4.6	*
CHEMBL1377215	5.55	*
CHEMBL1470386	5.45	*
CHEMBL1094029	*	6.73
CHEMBL1094028	*	6.75
CHEMBL1092108	*	5.64
CHEMBL1092109	*	4.86
CHEMBL406917	5.89	*
CHEMBL1522755	5.25	*
CHEMBL3212934	4.85	*
CHEMBL1299525	6.45	*
CHEMBL1414493	5.7	*
CHEMBL1424481	5.85	*
CHEMBL2164384	*	5.03
CHEMBL1951452	6.57	*
CHEMBL1520238	5.1	*
CHEMBL1600243	5.45	*
CHEMBL2036764	*	5.15
CHEMBL1951321	6.68	*
CHEMBL1454748	5.6	*
CHEMBL1516503	4.55	*
CHEMBL1612133	4.6	*
CHEMBL1509124	4.6	*
CHEMBL296586	4.9	*
CHEMBL217706	*	8.6
CHEMBL2448703	5.48	*
CHEMBL1585324	6.05	*
CHEMBL1568012	6.4	*
CHEMBL1377868	5.9	*
CHEMBL1504272	4.45	*
CHEMBL1400535	4.65	*
CHEMBL1351544	5.15	*
CHEMBL524997	*	5.34
CHEMBL311561	5.22	*
CHEMBL1824031	*	5.55
CHEMBL507122	4.7	*
CHEMBL1582278	5.5	*
CHEMBL1302636	6	*
CHEMBL3194967	4.65	*
CHEMBL1509145	5.65	*
CHEMBL1581594	6.15	*
CHEMBL1519798	5.3	*
CHEMBL3199708	5.4	*
CHEMBL1337895	6.3	*
CHEMBL2151923	4.4	*
CHEMBL1951325	7.04	*
CHEMBL3112850	4.4	*
CHEMBL2335295	*	4.64
CHEMBL3191893	4.85	*
CHEMBL1495971	4.4	*
CHEMBL611369	*	5.64
CHEMBL500946	*	5.22
CHEMBL1671889	*	5.22
CHEMBL1333282	5.85	*
CHEMBL2333645	*	4.82
CHEMBL3193223	4.55	*
CHEMBL3197815	5.4	*
CHEMBL1362547	4.5	*
CHEMBL1470632	4.85	*
CHEMBL1403448	4.85	*
CHEMBL1538611	4.85	*
CHEMBL1585	7.2	*
CHEMBL1453347	4.4	*
CHEMBL1607623	5.5	*
CHEMBL467085	4.5	*
CHEMBL1257123	5.1	*
CHEMBL43064	5.5	*
CHEMBL3211204	4.4	*
CHEMBL75880	*	5.11
CHEMBL1083707	*	4.67
CHEMBL1083705	*	5.19
CHEMBL2443278	*	5.64
CHEMBL446452	4.4	*
CHEMBL113461	*	5.6
CHEMBL1223236	4.92	*
CHEMBL212084	6.6	*
CHEMBL487355	*	5.05
CHEMBL486537	*	4.96
CHEMBL1587518	4.9	*
CHEMBL1370135	5.3	*
CHEMBL1335669	4.9	*
CHEMBL178780	4.12	*
CHEMBL1580880	4.85	*
CHEMBL1223235	4.54	*
CHEMBL1223237	5.62	*
CHEMBL1084132	*	4.8
CHEMBL1527317	5.9	*
CHEMBL3785605	*	5.82
CHEMBL1421334	5.65	*
CHEMBL2046888	*	5.5
CHEMBL1593645	5.4	*
CHEMBL470753	*	5.7
CHEMBL48029	*	6.89
CHEMBL1371311	5.4	*
CHEMBL2146869	*	7.17
CHEMBL2324250	*	5.79
CHEMBL2113667	*	7.75
CHEMBL40584	*	7.1
CHEMBL44310	*	6.28
CHEMBL1404071	4.85	*
CHEMBL1447143	5.2	*
CHEMBL1365701	5.6	*
CHEMBL1529804	6.3	*
CHEMBL1356060	6.1	*
CHEMBL325238	4.5	*
CHEMBL1491455	5.4	*
CHEMBL1172205	*	5.1
CHEMBL1171646	*	4.89
CHEMBL1173017	*	5.42
CHEMBL1258425	*	5.81
CHEMBL2046890	*	7.2
CHEMBL2035183	*	5.14
CHEMBL2035052	*	5.62
CHEMBL481863	*	6
CHEMBL2181331	6.43	*
CHEMBL1318461	5.3	*
CHEMBL168972	5.2	*
CHEMBL1315318	5.4	*
CHEMBL1409758	5.1	*
CHEMBL1435086	4.8	*
CHEMBL1574956	5.3	*
CHEMBL1590458	4.9	*
CHEMBL1334321	4.8	*
CHEMBL113018	5.25	*
CHEMBL419296	4.9	*
CHEMBL1720911	4.5	*
CHEMBL2046889	*	7.77
CHEMBL2046891	*	6.2
CHEMBL1824234	4.38	*
CHEMBL1824235	4.32	*
CHEMBL1824241	4.18	*
CHEMBL564514	*	7.92
CHEMBL1822853	*	6.64
CHEMBL1822852	*	5
CHEMBL1822858	*	8.3
CHEMBL1822854	*	7.89
CHEMBL1823340	*	6.38
CHEMBL1822856	*	5.95
CHEMBL1822690	*	5.56
CHEMBL1822688	*	7.85
CHEMBL1822857	*	5.65
CHEMBL1822849	*	5
CHEMBL1822689	*	7.05
CHEMBL1822851	*	5.92
CHEMBL1822855	*	6.08
CHEMBL115876	6.6	*
CHEMBL262968	6.38	*
CHEMBL113227	6.46	*
CHEMBL1258312	*	6.11
CHEMBL1401324	5.5	*
CHEMBL1606094	6	*
CHEMBL1600490	5.5	*
CHEMBL1525691	5.8	*
