CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL2036762	*	5.15
CHEMBL3237561	*	4.7
CHEMBL402087	*	6.6
CHEMBL429132	*	6.1
CHEMBL244946	*	5.7
CHEMBL411293	*	6.6
CHEMBL406678	*	5.6
CHEMBL1241913	4	4.5
CHEMBL1242436	*	6.3
CHEMBL1242533	*	5.9
CHEMBL1242623	*	6
CHEMBL1242717	*	4.5
CHEMBL1242081	*	6.2
CHEMBL1242167	*	6.3
CHEMBL1242257	*	6.7
CHEMBL1242345	*	6.7
CHEMBL1241548	*	6.4
CHEMBL1241547	*	6.4
CHEMBL1242904	*	5.8
CHEMBL256658	*	5.6
CHEMBL2158773	*	5.2
CHEMBL1172204	*	5.66
CHEMBL1173077	*	5.39
CHEMBL1172734	*	5.42
CHEMBL1173018	*	5.06
CHEMBL1173142	*	6.05
CHEMBL2164356	*	5.18
CHEMBL1257937	*	9.28
CHEMBL2012266	*	6.03
CHEMBL1289609	*	5.7
CHEMBL1171824	*	5.19
CHEMBL3233058	*	5
CHEMBL2164369	*	5.25
CHEMBL2022941	*	5.1
CHEMBL472168	*	5.57
CHEMBL1257938	*	9.21
CHEMBL2012265	*	5.5
CHEMBL2041192	*	4.51
CHEMBL2041189	*	4.8
CHEMBL2041187	*	4.72
CHEMBL2041183	*	4.68
CHEMBL2041184	*	4.66
CHEMBL2041193	*	4.66
CHEMBL2041190	*	5.14
CHEMBL2041188	*	4.64
CHEMBL2041186	*	5.11
CHEMBL1950489	*	5.59
CHEMBL3806193	*	5.84
CHEMBL3805101	*	5.79
CHEMBL3805844	*	5.67
CHEMBL3805216	*	5.57
CHEMBL515477	*	5.19
CHEMBL257717	*	6.6
CHEMBL2012179	*	5.85
CHEMBL2146867	*	9.12
CHEMBL3221531	*	4.21
CHEMBL3221492	*	4.4
CHEMBL2204261	*	4.55
CHEMBL494406	*	5.05
CHEMBL556450	*	5.42
CHEMBL3422236	*	5.64
CHEMBL1095151	*	5.8
CHEMBL1095150	*	5.96
CHEMBL487912	*	7.4
CHEMBL3612814	*	4.77
CHEMBL3793685	*	5.07
CHEMBL3422012	4.52	4.57
CHEMBL3359220	*	6.55
CHEMBL3128180	4.38	4.92
CHEMBL1784464	*	4.6
CHEMBL1784468	*	4.1
CHEMBL603052	*	4.79
CHEMBL1834797	*	4.6
CHEMBL1289610	*	4.3
CHEMBL3627895	*	5.27
CHEMBL1079481	*	6
CHEMBL1257809	*	5.8
CHEMBL255621	*	5.2
CHEMBL2207500	*	4.96
CHEMBL3822587	*	4.66
CHEMBL488730	*	5.89
CHEMBL1257925	*	5.9
CHEMBL272336	5.33	5.89
CHEMBL429734	4.7	5.75
CHEMBL255389	4.72	5.21
CHEMBL255806	*	5.6
CHEMBL272694	*	5.3
CHEMBL257901	*	4.9
CHEMBL255827	*	4.5
CHEMBL256650	*	4.3
CHEMBL395742	*	7.6
CHEMBL243709	*	5.7
CHEMBL243474	*	6.4
CHEMBL1910310	*	6.06
CHEMBL2207501	*	5.02
CHEMBL2070944	*	4.8
CHEMBL1649930	*	5.3
CHEMBL252031	*	6.74
CHEMBL253022	*	6.79
CHEMBL3758397	*	5.54
CHEMBL1289093	*	4.89
CHEMBL1289094	*	5.59
CHEMBL1289214	*	5.42
CHEMBL476723	*	5.3
CHEMBL3604693	*	6.16
CHEMBL564812	*	4.82
CHEMBL3237556	*	5.2
CHEMBL300907	*	5.46
CHEMBL2376800	*	4.46
CHEMBL1834798	*	4.64
CHEMBL1095121	*	5.85
CHEMBL1099069	*	5.29
CHEMBL557648	*	6.27
CHEMBL255417	*	5.5
CHEMBL255778	*	5.9
CHEMBL257524	*	5.4
CHEMBL401752	*	6.3
CHEMBL272545	*	5.3
CHEMBL272546	*	5.2
CHEMBL3577937	*	6.44
